songName,Id,listeners,songUrl,artistName,artistUrl,artistImg
The Less I Know the Better,1,250976,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,Tame Impala,https://www.last.fm/music/Tame+Impala,https://lastfm-img2.akamaized.net/i/u/174s/af87aba641a04fa9836fbf72f08b95cc.png
Hello,2,330246,https://www.last.fm/music/Adele/_/Hello,Adele,https://www.last.fm/music/Adele,https://lastfm-img2.akamaized.net/i/u/174s/c8cfa0a250a26a361f26fed40b5aec45.png
Can't Feel My Face,3,363819,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face,The Weeknd,https://www.last.fm/music/The+Weeknd,https://lastfm-img2.akamaized.net/i/u/174s/728ebbc80963c9023dbe6dd2398b7833.png
Adventure Of A Lifetime,4,233005,https://www.last.fm/music/Coldplay/_/Adventure+Of+A+Lifetime,Coldplay,https://www.last.fm/music/Coldplay,https://lastfm-img2.akamaized.net/i/u/174s/df378e4cd71c45f2c51702b0a3290547.png
Creep,5,1510617,https://www.last.fm/music/Radiohead/_/Creep,Radiohead,https://www.last.fm/music/Radiohead,https://lastfm-img2.akamaized.net/i/u/174s/d8fd84769874c7584fd976a6fbcebd27.png
Midnight City,6,877784,https://www.last.fm/music/M83/_/Midnight+City,M83,https://www.last.fm/music/M83,https://lastfm-img2.akamaized.net/i/u/174s/c5c0a117d7374556c5637892fbe8131e.png
Cheap Thrills,7,260501,https://www.last.fm/music/Sia/_/Cheap+Thrills,Sia,https://www.last.fm/music/Sia,https://lastfm-img2.akamaized.net/i/u/174s/3f82832c1324934920bc80bee9537994.png
Let It Happen,8,245795,https://www.last.fm/music/Tame+Impala/_/Let+It+Happen,Tame Impala,https://www.last.fm/music/Tame+Impala,https://lastfm-img2.akamaized.net/i/u/174s/af87aba641a04fa9836fbf72f08b95cc.png
Take Me Out,9,1562108,https://www.last.fm/music/Franz+Ferdinand/_/Take+Me+Out,Franz Ferdinand,https://www.last.fm/music/Franz+Ferdinand,https://lastfm-img2.akamaized.net/i/u/174s/d86635fe980d42cd8948956cebf3ab34.png
Burn the Witch,10,205957,https://www.last.fm/music/Radiohead/_/Burn+the+Witch,Radiohead,https://www.last.fm/music/Radiohead,https://lastfm-img2.akamaized.net/i/u/174s/d8fd84769874c7584fd976a6fbcebd27.png
Seven Nation Army,11,1365959,https://www.last.fm/music/The+White+Stripes/_/Seven+Nation+Army,The White Stripes,https://www.last.fm/music/The+White+Stripes,https://lastfm-img2.akamaized.net/i/u/174s/3ef9af4f7fea4a80a0e626a8c43fe48a.png
Do I Wanna Know?,12,750717,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F,Arctic Monkeys,https://www.last.fm/music/Arctic+Monkeys,https://lastfm-img2.akamaized.net/i/u/174s/77f91517993b4b3acbeacd164b1019ca.png
Uptown Funk,13,396603,https://www.last.fm/music/Mark+Ronson/_/Uptown+Funk,Mark Ronson,https://www.last.fm/music/Mark+Ronson,https://lastfm-img2.akamaized.net/i/u/174s/f9f0a157712c4a6ecac5f6606ae0b5a6.png
Lonely Boy,14,722923,https://www.last.fm/music/The+Black+Keys/_/Lonely+Boy,The Black Keys,https://www.last.fm/music/The+Black+Keys,https://lastfm-img2.akamaized.net/i/u/174s/15591ba07723425e92b31f9cd02a848e.png
Karma Police,15,1533838,https://www.last.fm/music/Radiohead/_/Karma+Police,Radiohead,https://www.last.fm/music/Radiohead,https://lastfm-img2.akamaized.net/i/u/174s/d8fd84769874c7584fd976a6fbcebd27.png
Love Will Tear Us Apart,16,1034276,https://www.last.fm/music/Joy+Division/_/Love+Will+Tear+Us+Apart,Joy Division,https://www.last.fm/music/Joy+Division,https://lastfm-img2.akamaized.net/i/u/174s/7d42f1a052ef4523965a51a5c4985491.png
Wonderwall,17,1790779,https://www.last.fm/music/Oasis/_/Wonderwall,Oasis,https://www.last.fm/music/Oasis,https://lastfm-img2.akamaized.net/i/u/174s/68526434a80d479cc78a39acbce8c23b.png
Smells Like Teen Spirit,18,1923523,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit,Nirvana,https://www.last.fm/music/Nirvana,https://lastfm-img2.akamaized.net/i/u/174s/ce9b7f5718744901b5cee7f7ab83b6b6.png
Last Nite,19,888492,https://www.last.fm/music/The+Strokes/_/Last+Nite,The Strokes,https://www.last.fm/music/The+Strokes,https://lastfm-img2.akamaized.net/i/u/174s/f5b08071d97847bd80a268728c39b0db.png
Losing My Religion,20,1082121,https://www.last.fm/music/R.E.M./_/Losing+My+Religion,R.E.M.,https://www.last.fm/music/R.E.M.,https://lastfm-img2.akamaized.net/i/u/174s/ed680b9359c19ef62e7e5a65db4d8faa.png
Mountain At My Gates,21,167987,https://www.last.fm/music/Foals/_/Mountain+At+My+Gates,Foals,https://www.last.fm/music/Foals,https://lastfm-img2.akamaized.net/i/u/174s/fcbf0ac660bb04b1c32ec6f89614941d.png
Stressed Out,22,293678,https://www.last.fm/music/Twenty+One+Pilots/_/Stressed+Out,Twenty One Pilots,https://www.last.fm/music/Twenty+One+Pilots,https://lastfm-img2.akamaized.net/i/u/174s/1c0de3e1fe1cf98a09dea5e57abc4abb.png
Where Is My Mind?,23,1054445,https://www.last.fm/music/Pixies/_/Where+Is+My+Mind%3F,Pixies,https://www.last.fm/music/Pixies,https://lastfm-img2.akamaized.net/i/u/174s/84c35e2e9d18436cafe6209b0c3aaa7e.png
Uprising,24,911512,https://www.last.fm/music/Muse/_/Uprising,Muse,https://www.last.fm/music/Muse,https://lastfm-img2.akamaized.net/i/u/174s/2cf19f323f4c704a8a2a234a0e72988e.png
Should Have Known Better,25,193570,https://www.last.fm/music/Sufjan+Stevens/_/Should+Have+Known+Better,Sufjan Stevens,https://www.last.fm/music/Sufjan+Stevens,https://lastfm-img2.akamaized.net/i/u/174s/7eb4f23c40d2436e90a295760643091e.png
No Surprises,26,1224940,https://www.last.fm/music/Radiohead/_/No+Surprises,Radiohead,https://www.last.fm/music/Radiohead,https://lastfm-img2.akamaized.net/i/u/174s/d8fd84769874c7584fd976a6fbcebd27.png
Skinny Love,27,999392,https://www.last.fm/music/Bon+Iver/_/Skinny+Love,Bon Iver,https://www.last.fm/music/Bon+Iver,https://lastfm-img2.akamaized.net/i/u/174s/f0596456b1a94edbbfe4bff017ee0e34.png
Intro,28,1000472,https://www.last.fm/music/The+xx/_/Intro,The xx,https://www.last.fm/music/The+xx,https://lastfm-img2.akamaized.net/i/u/174s/b66f97a07dde0d9127c2c95cf04fcf9b.png
Lazarus,29,166802,https://www.last.fm/music/David+Bowie/_/Lazarus,David Bowie,https://www.last.fm/music/David+Bowie,https://lastfm-img2.akamaized.net/i/u/174s/31a51f6e3ec647c8997150ec837891c7.png
